digest_date,total_claims,total_candidates,total_analysis_notes
2026-01-15,1,1,0
2026-02-18,10,2,0
2026-02-27,3,2,0
2026-03-01,2,1,0
2026-03-04,2,1,0
2026-03-08,5,1,0
2026-03-19,14,14,0
2026-03-24,3,2,0
2026-03-26,7,1,0
2026-03-31,1,1,0
2026-04-01,3,1,0
2026-04-07,1,1,0
2026-04-13,1,1,0
2026-04-14,6,1,0
2026-04-15,2,1,0
2026-04-16,4,1,0
2026-04-18,66,14,0
2026-04-19,14,5,0
2026-04-21,7,2,0
2026-04-22,4,2,0
2026-04-23,2,1,0
2026-04-24,3,3,0
2026-05-01,3,3,0
2026-05-02,2,2,0
2026-05-06,3,3,0
2026-05-07,5,5,0
2026-05-10,1,1,0
2026-05-12,5,3,0
2026-05-13,1,1,0
2026-05-14,2,2,0
2026-05-16,2,2,0
2026-05-18,2,1,0
2026-05-25,32,12,0
